epoch 01 | train 6.1804 | val 5.5709
epoch 02 | train 5.0443 | val 5.0935
epoch 03 | train 4.2920 | val 4.7889
epoch 04 | train 3.6426 | val 4.5522
epoch 05 | train 3.0691 | val 4.4110
epoch 06 | train 2.5509 | val 4.3190
epoch 07 | train 2.0591 | val 4.2240
epoch 08 | train 1.6295 | val 4.1688
epoch 09 | train 1.2686 | val 4.1471
epoch 10 | train 0.9502 | val 4.1092
epoch 11 | train 0.7104 | val 4.1040
epoch 12 | train 0.5282 | val 4.1494
epoch 13 | train 0.4050 | val 4.1483
epoch 14 | train 0.3082 | val 4.1459
epoch 15 | train 0.2507 | val 4.1617
epoch 16 | train 0.2090 | val 4.1632
epoch 17 | train 0.1876 | val 4.1650
epoch 18 | train 0.1752 | val 4.2021
epoch 19 | train 0.1686 | val 4.2081
epoch 20 | train 0.1643 | val 4.1927
epoch 21 | train 0.1527 | val 4.2181
epoch 22 | train 0.1409 | val 4.2562
epoch 23 | train 0.1344 | val 4.2659
epoch 24 | train 0.1333 | val 4.2686
epoch 25 | train 0.1274 | val 4.2867
epoch 26 | train 0.1289 | val 4.3091
epoch 27 | train 0.1235 | val 4.3373
epoch 28 | train 0.1253 | val 4.2948
epoch 29 | train 0.1211 | val 4.3648
epoch 30 | train 0.1235 | val 4.2816
epoch 31 | train 0.1183 | val 4.3715
epoch 32 | train 0.1153 | val 4.3082
epoch 33 | train 0.1131 | val 4.3308
epoch 34 | train 0.1213 | val 4.3589
epoch 35 | train 0.1073 | val 4.3184
epoch 36 | train 0.1074 | val 4.3410
epoch 37 | train 0.1088 | val 4.3641
epoch 38 | train 0.1083 | val 4.3966
epoch 39 | train 0.1094 | val 4.4053
epoch 40 | train 0.1144 | val 4.3999
epoch 41 | train 0.1121 | val 4.3917
epoch 42 | train 0.1087 | val 4.4545
epoch 43 | train 0.1105 | val 4.4125
epoch 44 | train 0.1008 | val 4.4305
epoch 45 | train 0.0942 | val 4.4481
epoch 46 | train 0.0845 | val 4.4524
epoch 47 | train 0.0853 | val 4.4048
epoch 48 | train 0.0881 | val 4.5328
epoch 49 | train 0.0923 | val 4.4398
epoch 50 | train 0.0968 | val 4.4991
epoch 51 | train 0.1164 | val 4.4835
epoch 52 | train 0.1279 | val 4.4953
epoch 53 | train 0.1235 | val 4.5069
epoch 54 | train 0.1225 | val 4.4827
epoch 55 | train 0.1093 | val 4.5008
epoch 56 | train 0.1021 | val 4.5322
epoch 57 | train 0.0895 | val 4.5737
epoch 58 | train 0.0802 | val 4.5385
epoch 59 | train 0.0762 | val 4.5464
epoch 60 | train 0.0736 | val 4.6068
epoch 61 | train 0.0753 | val 4.5527
epoch 62 | train 0.0740 | val 4.6228
epoch 63 | train 0.0755 | val 4.5767
epoch 64 | train 0.0794 | val 4.5727
epoch 65 | train 0.0775 | val 4.5863
epoch 66 | train 0.0784 | val 4.5645
epoch 67 | train 0.0782 | val 4.6144
epoch 68 | train 0.0812 | val 4.6676
epoch 69 | train 0.0851 | val 4.6909
epoch 70 | train 0.1099 | val 4.5806
epoch 71 | train 0.1119 | val 4.7024
epoch 72 | train 0.1107 | val 4.6438
epoch 73 | train 0.0973 | val 4.6141
epoch 74 | train 0.0937 | val 4.6446
epoch 75 | train 0.0819 | val 4.6573
epoch 76 | train 0.0786 | val 4.6282
epoch 77 | train 0.0735 | val 4.7252
epoch 78 | train 0.0721 | val 4.7379
epoch 79 | train 0.0691 | val 4.6740
epoch 80 | train 0.0704 | val 4.7110
epoch 81 | train 0.0695 | val 4.7129
epoch 82 | train 0.0699 | val 4.7468
epoch 83 | train 0.0714 | val 4.6878
epoch 84 | train 0.0690 | val 4.9231
epoch 85 | train 0.0693 | val 4.6906
epoch 86 | train 0.0722 | val 4.7577
epoch 87 | train 0.0760 | val 4.7268
epoch 88 | train 0.1024 | val 4.8858
epoch 89 | train 0.1086 | val 4.7262
epoch 90 | train 0.1075 | val 4.7701
epoch 91 | train 0.0982 | val 4.7449
epoch 92 | train 0.0812 | val 4.8110
epoch 93 | train 0.0769 | val 4.7635
epoch 94 | train 0.0734 | val 4.9159
epoch 95 | train 0.0729 | val 4.7810
epoch 96 | train 0.0690 | val 4.8281
epoch 97 | train 0.0654 | val 4.8463
epoch 98 | train 0.0625 | val 4.8627
epoch 99 | train 0.0626 | val 4.8576
epoch 100 | train 0.0617 | val 4.9128
